key,reg_name,cutout
ALLamp_Acacia,al_lamp_acacia_planks,false
ALLamp_Birch,al_lamp_birch_planks,false
ALLamp_Oak,al_lamp_oak_planks,false
ALLamp_Dark_Oak,al_lamp_dark_oak_planks,false
ALLamp_Spruce,al_lamp_spruce_planks,false
ALLamp_Jungle,al_lamp_jungle_planks,false
ALLamp_Stone,al_lamp_stone,false
ALLamp_CobbleStone,al_lamp_cobblestone,false
ALLamp_Mossy_CobbleStone,al_lamp_mossy_cobblestone,false
ALLamp_End_Stone,al_lamp_end_stone,false
ALLamp_Sand_Stone,al_lamp_sandstone,false
ALLamp_Quartz_Block,al_lamp_quartz_block,false
ALLamp_Glass,al_lamp_glass,true
ALLamp_Iron,al_lamp_iron_block,false
ALLamp_Gold,al_lamp_gold_block,false
ALLamp_Diamond,al_lamp_diamond_block,false
ALLamp_Ice,al_lamp_packed_ice,false
ALLamp_Pink_Wool,al_lamp_pink_wool,false
ALLamp_Magenta_Wool,al_lamp_magenta_wool,false
ALLamp_Nether_Bricks,al_lamp_nether_bricks,false
ALLamp_Red_Nether_Bricks,al_lamp_red_nether_bricks,false
ALLamp_BlackStone,al_lamp_blackstone,false
ALLamp_CrimsonPlanks,al_lamp_crimson_planks,false
ALLamp_WarpedPlanks,al_lamp_warped_planks,false
ALTorch_Acacia,al_torch_acacia_planks,false
ALTorch_Birch,al_torch_birch_planks,false
ALTorch_Oak,al_torch_oak_planks,false
ALTorch_Dark_Oak,al_torch_dark_oak_planks,false
ALTorch_Jungle,al_torch_jungle_planks,false
ALTorch_Spruce,al_torch_spruce_planks,false
ALTorch_Stone,al_torch_stone,false
ALTorch_CobbleStone,al_torch_cobblestone,false
ALTorch_Mossy_CobbleStone,al_torch_mossy_cobblestone,false
ALTorch_End_Stone,al_torch_end_stone,false
ALTorch_Sand_Stone,al_torch_sandstone,false
ALTorch_Stone_Bricks,al_torch_stone_bricks,false
ALTorch_Mossy_Stone_Bricks,al_torch_mossy_stone_bricks,false
ALTorch_End_Stone_Bricks,al_torch_end_stone_bricks,false
ALTorch_Nether_Bricks,al_torch_nether_bricks,false
ALTorch_Red_Nether_Bricks,al_torch_red_nether_bricks,false
ALTorch_Smooth_Stone,al_torch_smooth_stone,false
ALTorch_Quartz_Block,al_torch_quartz_block,false
ALTorch_Glass,al_torch_glass,true
ALTorch_Iron,al_torch_iron_block,false
ALTorch_Gold,al_torch_gold_block,false
ALTorch_Diamond,al_torch_diamond_block,false
ALTorch_Ice,al_torch_packed_ice,false
ALTorch_Pink_Wool,al_torch_pink_wool,false
ALTorch_Magenta_Wool,al_torch_magenta_wool,false
ALTorch_Crimson,al_torch_crimson_planks,false
ALTorch_Warped,al_torch_warped_planks,false
ALTorch_BlackStone,al_torch_blackstone,false
ALTorch_Wall_Acacia,al_wall_torch_acacia_planks,false
ALTorch_Wall_Birch,al_wall_torch_birch_planks,false
ALTorch_Wall_Oak,al_wall_torch_oak_planks,false
ALTorch_Wall_Dark_Oak,al_wall_torch_dark_oak_planks,false
ALTorch_Wall_Jungle,al_wall_torch_jungle_planks,false
ALTorch_Wall_Spruce,al_wall_torch_spruce_planks,false
ALTorch_Wall_Stone,al_wall_torch_stone,false
ALTorch_Wall_CobbleStone,al_wall_torch_cobblestone,false
ALTorch_Wall_Mossy_CobbleStone,al_wall_torch_mossy_cobblestone,false
ALTorch_Wall_End_Stone,al_wall_torch_end_stone,false
ALTorch_Wall_Sand_Stone,al_wall_torch_sandstone,false
ALTorch_Wall_Stone_Bricks,al_wall_torch_stone_bricks,false
ALTorch_Wall_Mossy_Stone_Bricks,al_wall_torch_mossy_stone_bricks,false
ALTorch_Wall_End_Stone_Bricks,al_wall_torch_end_stone_bricks,false
ALTorch_Wall_Nether_Bricks,al_wall_torch_nether_bricks,false
ALTorch_Wall_Red_Nether_Bricks,al_wall_torch_red_nether_bricks,false
ALTorch_Wall_Smooth_Stone,al_wall_torch_smooth_stone,false
ALTorch_Wall_Quartz_Block,al_wall_torch_quartz_block,false
ALTorch_Wall_Glass,al_wall_torch_glass,true
ALTorch_Wall_Iron,al_wall_torch_iron_block,false
ALTorch_Wall_Gold,al_wall_torch_gold_block,false
ALTorch_Wall_Diamond,al_wall_torch_diamond_block,false
ALTorch_Wall_Ice,al_wall_torch_packed_ice,false
ALTorch_Wall_Pink_Wool,al_wall_torch_pink_wool,false
